Country,Site,latitude_longitude,ServiceLine,Baseline,DeliveryType
Australia,South Wharf,"-37.824997,144.951999",Catering,671898.93,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,612543.11,Subcontract
Australia,Claremont,"-31.981633,115.781288",Security,585741.46,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Mail Room & Reception,506453.78,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Security,445417.30,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Catering,442672.28,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,398493.86,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,398155.04,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,379452.22,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,339477.89,Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,310565.44,Subcontract
Australia,Claremont,"-31.981633,115.781288",Catering,293516.85,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,291233.45,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,269387.44,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Security,268424.05,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Security,257615.01,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,333276.87,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,249480.88,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Employee Convenience Services,246796.31,Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Cleaning,244718.36,Subcontract
Australia,South Wharf,"-37.824997,144.951999",FM management & administration,239261.10,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Catering,226424.98,Subcontract
Australia,Claremont,"-31.981633,115.781288",Building Fabric,213452.64,Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Cleaning,212171.59,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,208935.03,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Catering,198283.37,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,188869.30,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,167795.75,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,166382.68,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,259252.10,Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,159021.25,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,158955.38,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,157330.15,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,154058.58,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Reprographics & Stationery,151214.08,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,136372.51,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Catering,135249.81,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,131253.80,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,224549.10,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157","E, H, S & Q, compliance",147444.52,Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,138996.29,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,118360.69,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,117232.21,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,114958.66,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,114854.48,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,114674.31,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Security,107823.87,Subcontract
Australia,Claremont,"-31.981633,115.781288",Building Fabric,106199.62,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,102122.53,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Fire and Security Equipment,99882.54,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,98653.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,98243.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,97999.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,97807.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,97807.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,97807.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,97212.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,97027.18,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,96583.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,95658.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,93519.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,92005.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,91398.20,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,90997.82,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,90227.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,89750.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,89603.04,Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,88950.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,88012.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,87104.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,86415.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,85910.00,Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,85779.76,Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,85733.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,85733.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,85733.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Building Fabric,85601.15,Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,84677.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,84232.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,83276.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,83108.96,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,82120.98,Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,81285.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,81285.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,81285.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,81118.49,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,80772.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,80489.46,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Grounds Maintenance,80478.56,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Cleaning,80306.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,79749.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",FM management & administration,77771.75,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Cleaning,77720.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,77685.74,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,77483.00,Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,75238.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,74655.44,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Document Management,74655.44,Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,74431.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,73738.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,72972.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,72629.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,72075.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,71722.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,71246.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,71127.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,68170.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,68170.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,68170.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,68120.21,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,68087.32,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,67676.00,Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,66444.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,66235.16,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,65621.69,Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,65041.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,63838.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,62802.53,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,62492.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,62351.21,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,62237.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,61625.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,61572.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,61239.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,61178.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Security,60982.36,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Mail Room & Reception,60925.41,Self Delivery
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,60712.60,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,60370.29,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,59673.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,59445.94,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798","E, H, S & Q, compliance",58988.28,Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,58496.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,58224.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,57943.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,57943.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,57943.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,57746.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,57643.39,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Security,56715.14,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,55941.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,55524.50,Subcontract
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,139948.88,Self Delivery
Australia,Claremont,"-31.981633,115.781288",Mail Room & Reception,54846.82,Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Cleaning,53196.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455","E, H, S & Q, compliance",52863.29,Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,52784.21,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,164039.73,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,51288.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,51099.65,Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,50082.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,49940.00,Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,49542.00,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,49450.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,49225.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,48725.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,48699.15,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,48505.47,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Catering,48009.19,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,47814.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,47504.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,47335.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,47322.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,47104.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,47030.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,46980.00,Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,46695.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,46308.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,46211.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,45941.81,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,45695.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,45657.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,45617.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,45617.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,45606.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,45558.81,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,45178.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,45059.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,44928.51,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,44662.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,44577.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,44382.80,Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,44096.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,44029.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,44005.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,43911.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,43890.00,Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,43816.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,43785.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,43604.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,43304.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,43202.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,42908.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,42537.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,42228.94,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,42156.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,41921.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,41893.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,41442.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,41303.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,41214.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,41179.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,41152.00,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,41152.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,41152.00,Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,41023.00,Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,40993.00,Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,40955.55,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,40784.00,Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,120013.83,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,40335.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,40061.26,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,39974.37,Self Delivery
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,39797.09,Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,39717.00,Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,39657.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,39301.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,39214.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,39128.00,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,39099.20,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,39031.00,Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,38907.00,Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,38820.47,Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,38542.00,Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,38357.00,Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,38090.50,Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,38032.00,Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,37887.00,Subcontract
